generation,N,G,z
118,80.00701550530829,-1.0971959957815838,-1.1872507102059013
119,79.54302674882653,-1.097224057802817,-1.0834887137521776
120,79.92803228866038,-1.0953961647981232,-1.0495132338400035
121,80.37695264842979,-1.0951082939527648,-1.1373549414576738
122,80.08537217930552,-1.096616104546484,-1.048648543323953
123,80.47847426452235,-1.0969575932637061,-1.0107731147190013
124,80.95856025083569,-1.0988714903217955,-1.1535077780062966
125,80.3219168884974,-1.1027057313251383,-1.0123735673402345
126,80.85252531351445,-1.103993398879128,-1.2369330114967125
127,79.7057980203883,-1.1074035001331857,-1.1889950119633081
128,79.35408657881848,-1.1062266922147388,-1.1962127806589384
129,79.09938090125404,-1.1036430385300127,-0.9321414797477707
130,80.58332729531513,-1.1000405621350289,-1.1827978865527902
131,79.90976352146942,-1.1023738713162894,-0.9953174928240051
132,80.70545893854342,-1.102012925402167,-1.2624150266789962
133,79.45113831552416,-1.1048347611563407,-1.0096950492382688
134,80.33139746528117,-1.1026393144184374,-1.1560494752177275
135,79.93697087087487,-1.103964904279562,-1.1192341084075812
136,79.9396855518459,-1.1037127877630615,-0.9665039698164417
137,80.90323448008598,-1.1034715299704452,-1.1551556936672192
138,80.27870636963284,-1.1070844678907892,-1.1848952615330952
139,79.7179108090556,-1.1081992933693205,-1.1343608982085167
140,79.71165131694428,-1.107070936605543,-1.1241505002548309
141,79.77294864684809,-1.10591754187332,-1.1544462521100358
142,79.61609703396707,-1.1050093364607123,-1.0783248155657146
143,80.00506070940799,-1.1034737245965807,-0.9705913261438497
144,80.91861127643497,-1.1034939674342126,-1.0258025367849095
145,81.13043419777317,-1.1071684125399526,-1.0233497616232161
146,81.27426949980998,-1.1116901493310452,-1.1335509833837396
147,80.63843506271247,-1.116787227330285,-1.1022849138901611
148,80.46825364103842,-1.119340967581135,-1.1003110058412444
149,80.37946320144565,-1.1212139821452887,-1.0973067935698233
150,80.34568984778696,-1.1227318349510713,-1.128902158705395
151,80.12159310542823,-1.124114594342219,-1.176109778886679
152,79.68284642097127,-1.124600966763932,-1.0172733701787817
153,80.42815021393754,-1.1233323524478172,-1.038943137208306
154,80.74881114923299,-1.1250449533035674,-1.2042048377666714
155,79.86437886714526,-1.1280401979004993,-0.9324036948661429
156,81.06659674461764,-1.1274977133690802,-1.1042075232486792
157,80.70982577577054,-1.1317641003475507,-1.1955239223170646
158,79.89934178269027,-1.134603403450633,-1.0423666643389549
159,80.40440275009,-1.1342007705813941,-1.0988487948905137
160,80.35069579360561,-1.1358183815817542,-1.2213776929256586
161,79.5203784366599,-1.1372211647561765,-1.216278736202665
162,79.06874274662688,-1.1353026785028162,-1.2670485458810188
163,78.47634667190334,-1.1315776494893237,-1.271987379959641
164,78.09661097209944,-1.125483036176937,-1.1923670743957404
165,78.3687601008818,-1.1178694800653348,-1.0016201471905772
166,79.7007654509601,-1.1113445204688621,-0.9491347230590365
167,80.86074912263294,-1.1101475822727025,-0.9327812660483934
168,81.68725107350127,-1.1135905787632343,-1.220490898279591
169,80.29160916292241,-1.1203395830572394,-1.004664511605022
170,80.8825798766361,-1.121506019708929,-1.1371111381123984
171,80.38539802546904,-1.1250363392154734,-1.0913862753294972
172,80.38733968674892,-1.1265779313173496,-0.9804758248058205
173,81.09389021462285,-1.1281272900643453,-1.1280118929491036
174,80.56940273785877,-1.1325028509228368,-1.2564708958354487
175,79.41334959374771,-1.1347804618742718,-1.0454730200361413
176,80.08618869597703,-1.1324338602492627,-1.2005035144377112
177,79.50324057275019,-1.132778615033171,-1.114590120412445
178,79.7078372138014,-1.1307915773241717,-1.3435356479372336
179,78.34339013771994,-1.1296229261793773,-1.1238307259859668
180,78.94247701606177,-1.122996486730257,-1.070028384907404
181,79.64332973089422,-1.1187663947945041,-1.206759943440494
182,79.20258610322631,-1.117339713718081,-1.1682848991733297
183,79.18687649665861,-1.1141500581309862,-1.1786188646731999
184,79.11190337261449,-1.1108975641176206,-0.9268276830899931
185,80.6233513619019,-1.1073451776080787,-1.033802031902534
186,80.90019243236362,-1.1098385830556863,-1.1918781815305046
187,80.03379022005734,-1.1134393527851407,-1.1757306247227628
188,79.63354534933634,-1.11357451366537,-1.0976407942456265
189,79.89388387315847,-1.1121086950627155,-1.2963310501264689
190,78.76233827300076,-1.1116842305553494,-1.0810157413435062
191,79.46427276886399,-1.1067335836473524,-1.1114952226419417
192,79.70378087621094,-1.1045906747228085,-1.041079661734228
193,80.29246123331511,-1.1034057982276522,-1.0698377372025907
194,80.46947910922044,-1.1045756431609126,-1.0419477515141162
195,80.75476444009674,-1.1064535595977945,-0.9103916382214914
196,81.7618894419106,-1.1094726173581815,-0.9618687900279346
197,82.05443171538178,-1.1165201751258238,-1.1611219968593114
198,80.90445978518177,-1.124737901987351,-1.1170757544880374
199,80.52969560808883,-1.128355741128078,-1.2583421030424822
