generation,N,G,z
42,10.702705651206813,-5.687091964993862,-5.687091964993862
43,10.57112459266066,-5.803844813086577,-5.803844813086577
44,10.325857158638982,-5.827561893960002,-5.827561893960002
45,10.132638647419551,-5.949452707484168,-5.949452707484168
46,9.845128730687415,-6.024831453174996,-6.024831453174996
47,9.56135596300423,-6.087393514324575,-6.087393514324575
48,9.299009836445753,-6.146084410257561,-6.146084410257561
49,9.057064004248957,-6.189332951110804,-6.189332951110804
50,8.848054751534256,-6.340539368294526,-6.340539368294526
51,8.535718373452253,-6.386598241287225,-6.386598241287225
52,8.284098186997548,-6.3341843649050595,-6.3341843649050595
53,8.175313993707304,-6.405093350481511,-6.405093350481511
54,8.02889300232762,-6.490752234892702,-6.490752234892702
55,7.8434308387463325,-6.517091475301632,-6.517091475301632
56,7.694570478655932,-6.545248469113535,-6.545248469113535
57,7.567845350710641,-6.707658499386258,-6.707658499386258
58,7.324545629986931,-6.6673570882635165,-6.6673570882635165
59,7.204935163982907,-6.726871983329467,-6.726871983329467
60,7.070485083758601,-6.7942327134796745,-6.7942327134796745
61,6.92020359759933,-6.838826524422191,-6.838826524422191
62,6.781207977495823,-6.869251370550785,-6.869251370550785
63,6.66255778161474,-6.97136217525354,-6.97136217525354
64,6.496350137797236,-6.97838064002141,-6.97838064002141
65,6.38116349022658,-7.031098948086166,-7.031098948086166
66,6.261526402551411,-7.134221840480157,-7.134221840480157
67,6.0990785308949125,-7.062869331624764,-7.062869331624764
68,6.04690540970766,-7.1261822421825585,-7.1261822421825585
69,5.963693423367233,-7.177380902218806,-7.177380902218806
70,5.869192949137633,-7.254215137157991,-7.254215137157991
71,5.748623909744331,-7.278015479901638,-7.278015479901638
72,5.651121046212445,-7.3686452251173185,-7.3686452251173185
73,5.520648716618051,-7.385269353099498,-7.385269353099498
74,5.4227440418753075,-7.4222904022734175,-7.4222904022734175
75,5.331882850771409,-7.444485230676499,-7.444485230676499
76,5.256034266856862,-7.503668616876441,-7.503668616876441
77,5.1657571035877785,-7.50051586989783,-7.50051586989783
78,5.107201945631365,-7.510988926867568,-7.510988926867568
79,5.06073477456676,-7.496907579374722,-7.496907579374722
80,5.0376287032702365,-7.578796046510267,-7.578796046510267
81,4.970778195060581,-7.573628315280427,-7.573628315280427
82,4.928652048438955,-7.513840760939498,-7.513840760939498
83,4.935391383859145,-7.5455992065789905,-7.5455992065789905
84,4.921256289978337,-7.511899570956248,-7.511899570956248
85,4.931329804668768,-7.579432693494203,-7.579432693494203
86,4.898102365310902,-7.5749210139003855,-7.5749210139003855
87,4.877912960477724,-7.595095124346648,-7.595095124346648
88,4.851951460611169,-7.601872557490243,-7.601872557490243
89,4.830012465979678,-7.671175832861185,-7.671175832861185
90,4.773666189596829,-7.642213169719934,-7.642213169719934
91,4.752270345430634,-7.728482840275992,-7.728482840275992
92,4.686879800844838,-7.76674711484299,-7.76674711484299
93,4.620254710238376,-7.812787303074119,-7.812787303074119
94,4.548613993575223,-7.866815617826396,-7.866815617826396
95,4.469470568082388,-7.941241536669753,-7.941241536669753
96,4.374265678557209,-7.959243056046199,-7.959243056046199
97,4.301086297517066,-8.059641553550032,-8.059641553550032
98,4.197033587677014,-8.052828400378386,-8.052828400378386
99,4.132028621222156,-8.106385425739413,-8.106385425739413
