generation,N,z
106,9.72306943695435,-7.8423185955394725
107,9.636451952099714,-7.871487803850336
108,9.551384668723056,-7.9003971597066345
109,9.467825972734706,-7.929051313712804
110,9.385735736055302,-7.957454791631008
111,9.305075250528796,-7.985611998839174
112,9.225807165346307,-8.01352722459076
113,9.14789542776429,-8.041204646086799
114,9.071305226915792,-8.068648332370092
115,8.996002940527406,-8.095862248050839
116,8.921956084367551,-8.122850256872422
117,8.849133264263502,-8.149616125125524
118,8.777504130535679,-8.176163524918314
119,8.70703933470778,-8.20249603730992
120,8.637710488360826,-8.228617155314044
121,8.569490124007807,-8.254530286779127
122,8.502351657873742,-8.280238757151151
123,8.43626935447339,-8.305745812124773
124,8.371218292885798,-8.331054620188192
125,8.3071743346313,-8.35616827506685
126,8.244114093062544,-8.381089798070743
127,8.18201490418667,-8.405822140349931
128,8.120854798840936,-8.430368185062491
129,8.060612476148886,-8.454730749459014
130,8.001267278188573,-8.47891258688746
131,7.942799165808594,-8.502916388722026
132,7.885188695531519,-8.526744786219451
133,7.828416997487898,-8.550400352306045
134,7.772465754327461,-8.573885603298509
135,7.717317181057215,-8.59720300056149
136,7.662954005759129,-8.620354952104663
137,7.609359451142821,-8.64334381412194
138,7.556517216891235,-8.666171892475369
139,7.504411462759709,-8.688841444126043
140,7.453026792391087,-8.711354678514322
141,7.402348237811612,-8.733713758891495
142,7.352361244574339,-8.75592080360493
143,7.303051657518645,-8.777977887338652
144,7.254405707116142,-8.799887042311209
145,7.2064099963749415,-8.821650259432557
146,7.159051488275739,-8.843269489421681
147,7.1123174937146,-8.864746643886509
148,7.066195659928738,-8.886083596367653
149,7.02067395938276,-8.907282183347439
150,6.975740679094119,-8.928344205225587
151,6.931384410377579,-8.94927142726287
152,6.887594038989595,-8.970065580494003
153,6.844358735654475,-8.990728362610971
154,6.801667946955127,-9.011261438817934
155,6.759511386572099,-9.0316664426588
156,6.717879026855415,-9.051944976818517
157,6.676761090714534,-9.072098613899083
158,6.636148043812451,-9.092128897171227
159,6.596030587050706,-9.112037341302663
160,6.55639964933267,-9.131825433063815
161,6.517246380593157,-9.151494632011813
162,6.4785621450829485,-9.171046371153592
163,6.440338514897401,-9.190482057588842
164,6.402567263738823,-9.209803073133534
165,6.365240360902804,-9.22901077492475
166,6.328349965479141,-9.248106496007459
167,6.291888420758472,-9.267091545903897
168,6.255848248836107,-9.285967211166172
169,6.220222145405016,-9.30473475591268
170,6.185002974730221,-9.323395422348895
171,6.150183764797264,-9.341950431273085
172,6.115757702627749,-9.360400982567477
173,6.0817181297552425,-9.37874825567536
174,6.048058537855171,-9.396993410064626
175,6.014772564522612,-9.415137585678192
176,5.981853989192163,-9.433181903371759
177,5.949296729194315,-9.451127465339335
178,5.917094835943041,-9.468975355526918
179,5.8852424912495,-9.486726640034748
180,5.853734003757028,-9.504382367508496
181,5.822563805492754,-9.521943569519767
182,5.791726448531414,-9.539411260936244
183,5.761216601767124,-9.556786440281838
184,5.731029047789026,-9.57407009008714
185,5.701158679856955,-9.591263177230507
186,5.671600498973366,-9.608366653270078
187,5.6423496110479885,-9.625381454766998
188,5.613401224151762,-9.642308503600143
189,5.584750645856818,-9.659148707272598
190,5.556393280659346,-9.675902959210168
191,5.528324627482344,-9.692572139052146
192,5.500540277255384,-9.709157112934593
193,5.4730359105686155,-9.725658733766359
194,5.445807295398375,-9.742077841498064
195,5.418850284901839,-9.75841526338426
196,5.392160815278301,-9.774671814238966
197,5.3657349036947215,-9.7908482966848
198,5.339568646273299,-9.806945501395884
199,5.31365821613892,-9.822964207334703
200,5.2879998615244075,-9.83890518198312
201,5.262589903931564,-9.854769181567693
202,5.23742473634613,-9.870556951279488
203,5.212500821504787,-9.886269225488526
204,5.187814690212452,-9.90190672795304
205,5.163362939708172,-9.917470172023677
206,5.13914223207798,-9.932960260842801
207,5.1151492927131335,-9.948377687539034
208,5.091380908812243,-9.963723135417174
209,5.0678339279258235,-9.978997278143611
210,5.044505256541874,-9.994200779927388
211,5.021391858711151,-10.009334295697013
212,4.998490754710809,-10.024398471273146
213,4.975799019745209,-10.039393943537279
214,4.953313782682645,-10.054321340596514
215,4.931032224826865,-10.069181281944562
216,4.908951578722254,-10.083974378619043
217,4.887069126991619,-10.09870123335521
218,4.865382201205534,-10.113362440736186
219,4.843888180782238,-10.127958587339803
220,4.822584491917144,-10.14249025188215
221,4.801468606541028,-10.1569580053579
