generation,N,G,z,N_obs,z_obs
45,10.132638647419551,-5.949452707484168,-5.949452707484168,7.852609880061272,-6.020891314108916
46,9.845128730687415,-6.024831453174996,-6.024831453174996,7.823948837728589,-6.0190420360677335
47,9.56135596300423,-6.087393514324575,-6.087393514324575,13.748173041729562,-6.229638012926748
48,9.299009836445753,-6.146084410257561,-6.146084410257561,8.088896525650904,-6.059866215293037
49,9.057064004248957,-6.189332951110804,-6.189332951110804,11.14516198288841,-6.303117091769805
50,8.848054751534256,-6.340539368294526,-6.340539368294526,2.267373943743629,-6.508134625154681
51,8.535718373452253,-6.386598241287225,-6.386598241287225,5.860551155601373,-6.38524641723369
52,8.284098186997548,-6.3341843649050595,-6.3341843649050595,18.753372092650316,-6.36182854859906
53,8.175313993707304,-6.405093350481511,-6.405093350481511,3.0601934999806257,-6.54991443332635
54,8.02889300232762,-6.490752234892702,-6.490752234892702,8.991035193626942,-6.736683669070548
55,7.8434308387463325,-6.517091475301632,-6.517091475301632,1.4914654079016092,-6.4647874980361255
56,7.694570478655932,-6.545248469113535,-6.545248469113535,5.653521332705076,-6.328708762536282
57,7.567845350710641,-6.707658499386258,-6.707658499386258,9.917951848840497,-6.419937343230072
58,7.324545629986931,-6.6673570882635165,-6.6673570882635165,2.721923302234842,-6.577134844547434
59,7.204935163982907,-6.726871983329467,-6.726871983329467,8.25869023621297,-6.632076754792234
60,7.070485083758601,-6.7942327134796745,-6.7942327134796745,8.480129172021458,-6.885710121521863
61,6.92020359759933,-6.838826524422191,-6.838826524422191,10.892692728313179,-6.879890764381018
62,6.781207977495823,-6.869251370550785,-6.869251370550785,-0.9454527961795005,-6.846561501570691
63,6.66255778161474,-6.97136217525354,-6.97136217525354,4.015930043750915,-6.8930977654264
64,6.496350137797236,-6.97838064002141,-6.97838064002141,5.168509283432522,-6.951936071036346
65,6.38116349022658,-7.031098948086166,-7.031098948086166,2.050214573374415,-6.981055370555353
66,6.261526402551411,-7.134221840480157,-7.134221840480157,8.164551827849579,-7.312703872375799
67,6.0990785308949125,-7.062869331624764,-7.062869331624764,1.5251236863350943,-7.298578593168921
68,6.04690540970766,-7.1261822421825585,-7.1261822421825585,10.42907173833498,-7.058485465493802
69,5.963693423367233,-7.177380902218806,-7.177380902218806,-3.5564106238122184,-7.121349214818735
70,5.869192949137633,-7.254215137157991,-7.254215137157991,10.166017837842139,-7.592180636419797
71,5.748623909744331,-7.278015479901638,-7.278015479901638,-1.1693427528807954,-7.467534919996683
72,5.651121046212445,-7.3686452251173185,-7.3686452251173185,6.422426668753749,-7.459743938403981
73,5.520648716618051,-7.385269353099498,-7.385269353099498,10.023991332574916,-7.554017828319056
74,5.4227440418753075,-7.4222904022734175,-7.4222904022734175,6.826168399113341,-7.451224623138541
75,5.331882850771409,-7.444485230676499,-7.444485230676499,-2.2361844201796828,-7.663762190479682
76,5.256034266856862,-7.503668616876441,-7.503668616876441,15.552961611380592,-7.454138421829855
77,5.1657571035877785,-7.50051586989783,-7.50051586989783,-7.096913988300938,-7.430189804879831
78,5.107201945631365,-7.510988926867568,-7.510988926867568,1.7194057396469136,-7.16924316952241
79,5.06073477456676,-7.496907579374722,-7.496907579374722,2.0142084961355105,-7.885683637849291
80,5.0376287032702365,-7.578796046510267,-7.578796046510267,-1.6733926666733518,-7.839620351442993
81,4.970778195060581,-7.573628315280427,-7.573628315280427,13.705087022335405,-7.486286410735447
82,4.928652048438955,-7.513840760939498,-7.513840760939498,1.30426035067924,-7.29124453127927
83,4.935391383859145,-7.5455992065789905,-7.5455992065789905,-0.16145322895637904,-7.519385981271375
84,4.921256289978337,-7.511899570956248,-7.511899570956248,-2.5855218236288895,-7.314388390116815
85,4.931329804668768,-7.579432693494203,-7.579432693494203,11.195332012105577,-7.716021224717502
86,4.898102365310902,-7.5749210139003855,-7.5749210139003855,7.558339421896841,-7.737487361556717
87,4.877912960477724,-7.595095124346648,-7.595095124346648,6.488408011855552,-7.582039143911943
88,4.851951460611169,-7.601872557490243,-7.601872557490243,10.463265402704963,-7.779592082497109
89,4.830012465979678,-7.671175832861185,-7.671175832861185,14.97745428251465,-7.765919509453554
90,4.773666189596829,-7.642213169719934,-7.642213169719934,2.1347768233187248,-7.613162887038061
91,4.752270345430634,-7.728482840275992,-7.728482840275992,5.054900657627457,-7.756492582807768
92,4.686879800844838,-7.76674711484299,-7.76674711484299,2.3520522130891006,-7.775921123589548
93,4.620254710238376,-7.812787303074119,-7.812787303074119,5.580052502614123,-7.81410211886766
94,4.548613993575223,-7.866815617826396,-7.866815617826396,-5.158285473183619,-7.513107297870336
95,4.469470568082388,-7.941241536669753,-7.941241536669753,0.1305463014328252,-7.753450593473667
96,4.374265678557209,-7.959243056046199,-7.959243056046199,1.5185949197443618,-7.656187776906559
97,4.301086297517066,-8.059641553550032,-8.059641553550032,8.337478485831532,-8.360256797424736
98,4.197033587677014,-8.052828400378386,-8.052828400378386,-0.07309600124866211,-7.5804220861341225
99,4.132028621222156,-8.106385425739413,-8.106385425739413,11.263092347748948,-7.845407069639077
